boiler-workflow | [13:52:39 DBG] OUTBOX_EMPTY {"SourceContext": "WorkflowService.Background.OutboxWorker"}
boiler-workflow | [13:52:54 INF] WF_TIMER_WORKER_DUE_COUNT Count=1 {"SourceContext": "WorkflowService.Background.TimerWorker"}
boiler-workflow | [13:52:54 INF] WF_TIMER_FIRE Instance=20 Task=20 Node=timer-1756647818046 Due=08/31/2025 13:52:53 {"SourceContext": "WorkflowService.Background.TimerWorker"}
boiler-workflow | [13:52:54 INF] WF_ADVANCE Instance=20 FromNode=timer-1756647818046 Next=[humanTask-1756647830803] Removed=True {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] 🔍 WorkflowDbContext: Starting SaveChangesAsync {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] 🏢 WorkflowDbContext: Tenant ID resolved as: 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 DBG] ✅ WorkflowDbContext: Transaction-local tenant set to 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] ✅ WorkflowDbContext: Updated TenantId for 0 entities {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] WF_CONTINUE Instance=20 Nodes=[humanTask-1756647830803] {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] WF_NODE_EXEC_START Instance=20 Node=humanTask-1756647830803 Type=humanTask {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] Creating human task: TaskName='Post Timer', AssignedRole='Admin', AssignedUserId='', DueInMinutes=1 {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] Validated role 'Admin' exists in tenant 1 {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] Task assigned to role 'Admin' {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] Successfully created human task 'Post Timer' for workflow instance 20 (Tenant 1) {"SourceContext": "WorkflowService.Engine.Executors.HumanTaskExecutor"}
boiler-workflow | [13:52:54 INF] WF_NODE_WAIT Instance=20 Node=humanTask-1756647830803 Type=humanTask {"SourceContext": "WorkflowService.Engine.WorkflowRuntime"}
boiler-workflow | [13:52:54 INF] 🔍 WorkflowDbContext: Starting SaveChangesAsync {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] 🏢 WorkflowDbContext: Tenant ID resolved as: 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 DBG] ✅ WorkflowDbContext: Transaction-local tenant set to 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] ✅ WorkflowDbContext: Updated TenantId for 0 entities {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] OUTBOX_BATCH Size=3 {"SourceContext": "WorkflowService.Background.OutboxWorker"}
boiler-workflow | [13:52:54 INF] OUTBOX_DISPATCH EventType=workflow.task.timercompleted Id=114 Tenant=1 Retry=0 PayloadSize=85 {"SourceContext": "WorkflowService.Services.LoggingOutboxDispatcher"}
boiler-workflow | [13:52:54 INF] OUTBOX_DISPATCH EventType=workflow.edge.edgetraversed Id=115 Tenant=1 Retry=0 PayloadSize=97 {"SourceContext": "WorkflowService.Services.LoggingOutboxDispatcher"}
boiler-workflow | [13:52:54 INF] OUTBOX_DISPATCH EventType=workflow.node.nodeactivated Id=116 Tenant=1 Retry=0 PayloadSize=98 {"SourceContext": "WorkflowService.Services.LoggingOutboxDispatcher"}
boiler-workflow | [13:52:54 INF] 🔍 WorkflowDbContext: Starting SaveChangesAsync {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] 🏢 WorkflowDbContext: Tenant ID resolved as: 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 DBG] ✅ WorkflowDbContext: Transaction-local tenant set to 1 {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-workflow | [13:52:54 INF] ✅ WorkflowDbContext: Updated TenantId for 0 entities {"SourceContext": "WorkflowService.Persistence.WorkflowDbContext"}
boiler-auth |   | 2025-08-31T13:53:01.034868875Z [13:53:01 INF] HTTP GET /health responded 200 in 0.1985 ms {"SourceContext": "Serilog.AspNetCore.RequestLoggingMiddleware"}
boiler-workflow | [13:53:01 INF] HTTP GET /health responded 200 in 7.4142 ms {"SourceContext": "Serilog.AspNetCore.RequestLoggingMiddleware"}
boiler-user |   | 2025-08-31T13:53:02.045552663Z [13:53:02 DBG] AuthenticationScheme: Bearer was not authenticated. {"EventId": {"Id": 9, "Name": "AuthenticationSchemeNotAuthenticated"}, "SourceContext": "Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.047108669Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.047152886Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.047880169Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.047916784Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.048422180Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.048441488Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.048462196Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.048465097Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.050722176Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.050760791Z [13:53:02 INF] 🏢 FOUND tenant from header 'X-Tenant-Id': 1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
boiler-user |   | 2025-08-31T13:53:02.051375030Z [13:53:02 INF] 🔍 All request headers: Accept=*/*; Host=localhost:7002; User-Agent=curl/7.88.1; X-Tenant-ID=1 {"SourceContext": "Common.Services.TenantProvider", "HealthCheckName": "enhanced_authorization", "RequestId": "0HNF8IGB304HC:00000001", "RequestPath": "/health", "ConnectionId": "0HNF8IGB304HC"}
